,Url,Description,Topics,Stars
0,https://github.com/facebookarchive/Keyframes.git,A library for converting Adobe AE shape based animations to a data format and playing it back on Android and iOS devices.,,5389
1,https://github.com/nilaoda/N_m3u8DL-CLI.git,"[.NET] m3u8 downloader 开源的命令行m3u8/HLS/dash下载器，支持普通AES-128-CBC解密，多线程，自定义请求头等. 支持简体中文,繁体中文和英文. English Supported.","m3u8dl-cli,m3u8,m3u8-downloader,m3u8-parser,downloader,command-line,windows",4648
2,https://github.com/sqlcipher/sqlcipher.git,SQLCipher is an SQLite extension that provides 256 bit AES encryption of database files.,,4487
3,https://github.com/RNCryptor/RNCryptor.git,"CCCryptor (AES encryption) wrappers for iOS and Mac in Swift. -- For ObjC, see RNCryptor/RNCryptor-objc",,3252
4,https://github.com/PrivateBin/PrivateBin.git,"A minimalist, open source online pastebin where the server has zero knowledge of pasted data. Data is encrypted/decrypted in the browser using 256 bits AES.","self-hosted,self-hosting,pastebin,security,one-time,self-destroy,encrypted,php,paste,crypto,cryptography",3082
5,https://github.com/alrojo/tensorflow-tutorial.git,"Practical tutorials and labs for TensorFlow used by Nvidia, FFN, CNN, RNN, Kaggle, AE",,1958
6,https://github.com/pfn/keepasshttp.git,KeePass plugin to expose password entries securely (256bit AES/CBC) over HTTP,,1720
7,https://github.com/ricmoo/aes-js.git,A pure JavaScript implementation of the AES block cipher and all common modes of operation for node.js or web browsers.,"aes,javascript,ecb,ctr,cbc,ofb,cfb,block-ciphers",1143
8,https://github.com/wwwtyro/cryptico.git,An easy-to-use encryption system utilizing RSA and AES for javascript.,,1122
9,https://github.com/B-Con/crypto-algorithms.git,"Basic implementations of standard cryptography algorithms, like AES and SHA-1.",,1118
10,https://github.com/kelp404/CocoaSecurity.git,"Encrypt/Decrypt: AES. Hash: MD5, SHA(SHA1, SHA224, SHA256, SHA384, SHA512). Encode/Decode: Base64, Hex.",,1100
11,https://github.com/sebsauvage/ZeroBin.git,"A minimalist, opensource online pastebin where the server has zero knowledge of pasted data. Data is encrypted/decrypted in the browser using 256 bits AES.",,900
12,https://github.com/NebuTech/NBMiner.git,"NVIDIA & AMD GPU Miner for ETH, RVN, GRIN, BEAM, CFX, ZIL, AE, SERO, ERGO","ethminer,mining,dual-mining,grin,eth,ethereum,sero,ae,rvn,ravencoin,conflux,miner,beam,nvidia,amd,ergo",898
13,https://github.com/Gurpartap/AESCrypt-ObjC.git,A simple and opinionated AES encrypt / decrypt Objective-C class that just works.,,779
14,https://github.com/mmozeiko/aes-finder.git,Utility to find AES keys in running processes,,696
